"party","name","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"국민의힘","박성민",512,40,4,28,0.799766659736633,0.924657534246575,0.26326596736908,-0.224878430366516,0,0,0
"더불어민주당","박성준",1003,14,1,0,0.924392223358154,0.985265225933202,-0.315221846103668,0.452508538961411,0,0,0
"국민의힘","박성중",331,92,20,176,0.616680860519409,0.819063004846527,0.854107737541199,-0.51712429523468,0,0,0
"국민의힘","박수영",759,155,43,89,0.650734126567841,0.810707456978968,0.621191918849945,0.251022487878799,0,0,0
"새로운미래","박영순",913,32,2,8,0.873965501785278,0.964397905759162,-0.464654058218002,-0.115674816071987,0,0,0
"국민의힘","박완수",347,76,20,104,0.631582796573639,0.824497257769653,0.673652470111847,-0.109041661024094,0,0,0
"무소속","박완주",816,21,4,6,0.909158170223236,0.970484061393152,-0.62484747171402,-0.0427343584597111,0,0,0
"더불어민주당","박용진",866,16,3,12,0.925299763679504,0.978818283166109,-0.503804981708527,-0.231784984469414,0,0,0
"더불어민주당","박재호",816,4,0,1,0.971416532993317,0.995127892813642,-0.400503247976303,0.186106294393539,0,0,0
"더불어민주당","박정",1024,12,0,0,0.94784814119339,0.988416988416988,-0.403648138046265,0.326300412416458,0,0,0
"더불어민주당","박주민",719,16,0,0,0.918306291103363,0.978231292517007,-0.476358205080032,0.313573986291885,0,0,0
"국민의힘","박진",624,39,2,17,0.833510756492615,0.939882697947214,0.160880088806152,-0.300403416156769,0,0,0
"더불어민주당","박찬대",880,14,0,2,0.933409988880157,0.984375,-0.443519055843353,0.20529505610466,0,0,0
"국민의힘","박형수",891,72,5,25,0.799263060092926,0.92245720040282,0.299308329820633,-0.0506060346961021,0,0,0
"더불어민주당","박홍근",990,14,0,2,0.947728276252747,0.986083499005964,-0.404507368803024,0.115033805370331,0,0,0
"국민의힘","배준영",583,91,20,57,0.689866960048676,0.85219707057257,0.511437892913818,-0.523851454257965,0,0,0
"정의당","배진교",972,34,1,79,0.882636427879333,0.967771639042357,-0.624748766422272,-0.780825734138489,0,0,0
"국민의힘","배현진",451,71,13,44,0.706721544265747,0.854922279792746,0.515032589435577,-0.0267250649631023,0,0,0
"국민의힘","백종헌",981,28,2,25,0.894528865814209,0.971042471042471,0.0732896104454994,-0.15793451666832,0,0,0
"더불어민주당","백혜련",901,21,0,0,0.927864730358124,0.977223427331887,-0.486316919326782,0.541539251804352,0,0,0
"더불어민주당","변재일",756,11,1,0,0.932797133922577,0.984375,-0.32271346449852,0.345248132944107,0,0,0
"더불어민주당","서동용",982,60,6,19,0.842815220355988,0.938144329896907,-0.775521159172058,-0.0364333800971508,0,0,0
"국민의힘","서범수",950,35,2,21,0.877423524856567,0.963293650793651,0.112825118005276,-0.173305630683899,0,0,0
"국민의힘","서병수",826,118,12,40,0.706059873104095,0.869477911646586,0.444843262434006,0.249564111232758,0,0,0
"더불어민주당","서삼석",1023,4,0,0,0.967805504798889,0.996105160662123,-0.400905638933182,0.285055667161942,0,0,0
"더불어민주당","서영교",940,4,0,0,0.966649651527405,0.995762711864407,-0.355731546878815,0.325684607028961,0,0,0
"더불어민주당","서영석",1109,11,1,1,0.952638566493988,0.989304812834225,-0.416374027729034,0.153175920248032,0,0,0
"국민의힘","서일준",636,84,10,39,0.73066908121109,0.8777633289987,0.41906663775444,-0.305602759122849,0,0,0
"국민의힘","서정숙",630,123,36,88,0.664476096630096,0.818700114025085,0.601279556751251,-0.244548842310905,0,0,0
"새로운미래","설훈",1003,9,0,5,0.961346685886383,0.991150442477876,-0.474458485841751,0.0518782772123814,0,0,0
"국민의힘","성일종",633,64,3,23,0.771726369857788,0.907330567081604,0.359162777662277,-0.174803122878075,0,0,0
"더불어민주당","소병철",1061,5,1,0,0.963798820972443,0.994376757263355,-0.351543337106705,0.364440381526947,0,0,0
"더불어민주당","소병훈",1004,18,5,8,0.94241851568222,0.977777777777778,-0.534222900867462,-0.101464711129665,0,0,0
"더불어민주당","송갑석",651,1,0,1,0.979768693447113,0.998468606431853,-0.443481862545013,0.218069821596146,0,0,0
"더불어민주당","송기헌",885,12,1,0,0.941291928291321,0.985523385300668,-0.320836633443832,0.272987008094788,0,0,0
"국민의힘","송석준",902,39,5,19,0.859544456005096,0.95440414507772,0.122398182749748,-0.164952725172043,0,0,0
"국민의힘","송언석",353,22,1,10,0.853322565555573,0.940414507772021,0.388389140367508,-0.0850667208433151,0,0,0
"더불어민주당","송영길",512,8,0,0,0.921698153018951,0.984615384615385,-0.456192523241043,0.493317246437073,0,0,0
"더불어민주당","송옥주",937,14,0,7,0.948067545890808,0.985386221294363,-0.537436544895172,0.0320977717638016,0,0,0
"더불어민주당","송재호",676,10,0,1,0.921827614307404,0.985443959243086,-0.34614172577858,0.302011042833328,0,0,0
"더불어민주당","신동근",931,44,6,7,0.878533124923706,0.949392712550607,-0.592546880245209,0.0377855338156223,0,0,0
"더불어민주당","신영대",1003,20,1,1,0.92074066400528,0.979512195121951,-0.426059424877167,0.134915411472321,0,0,0
"국민의힘","신원식",495,89,21,55,0.691936254501343,0.833333333333333,0.573656022548676,-0.194797560572624,0,0,0
"더불어민주당","신정훈",945,14,1,2,0.941859781742096,0.984407484407484,-0.459659188985825,0.103896245360374,0,0,0
"더불어민주당","신현영",965,7,0,0,0.966322124004364,0.992798353909465,-0.397833079099655,0.208728641271591,0,0,0
"정의당","심상정",649,33,2,69,0.864241421222687,0.953519256308101,-0.636491894721985,-0.771283328533173,0,0,0
"더불어민주당","안규백",991,16,1,0,0.938636541366577,0.983134920634921,-0.413857311010361,0.270091027021408,0,0,0
"더불어민주당","안민석",1073,6,1,0,0.959073185920715,0.993518518518518,-0.361652344465256,0.277769237756729,0,0,0
"국민의힘","안병길",594,147,57,140,0.641199469566345,0.782515991471215,0.777449667453766,0.0477806553244591,0,0,0
"더불어민주당","안호영",999,13,2,2,0.94648802280426,0.985236220472441,-0.470758110284805,0.100168198347092,0,0,0
"더불어민주당","양경숙",1077,26,4,5,0.919428825378418,0.973021582733813,-0.544555604457855,0.049971979111433,0,0,0
"국민의힘","양금희",689,137,48,114,0.666369378566742,0.812753036437247,0.65913599729538,-0.255845963954926,0,0,0
"더불어민주당","양기대",1070,8,1,0,0.962428987026215,0.991658943466172,-0.394590586423874,0.229467809200287,0,0,0
"더불어민주당","양이원영",905,54,8,18,0.824150741100311,0.937055837563452,-0.653102040290833,-0.249995589256287,0,0,0
"개혁신당","양정숙",1017,26,0,0,0.898256361484528,0.975071907957814,-0.384945273399353,0.21239872276783,0,0,0
"개혁신당","양향자",958,9,1,0,0.947897493839264,0.989669421487603,-0.326097041368484,0.220440536737442,0,0,0
"더불어민주당","어기구",1087,11,0,6,0.958168089389801,0.990036231884058,-0.417755782604218,0.00836368463933468,0,0,0
"국민의힘","엄태영",593,75,8,37,0.722732543945312,0.8835904628331,0.393846899271011,-0.334674835205078,0,0,0
"더불어민주당","오기형",998,21,5,3,0.921365976333618,0.974683544303797,-0.46121546626091,-0.062190655618906,0,0,0
"새로운미래","오영환",906,18,1,1,0.927843868732452,0.979481641468683,-0.519071340560913,0.17887008190155,0,0,0
"더불어민주당","오영훈",525,3,0,0,0.960383534431458,0.994318181818182,-0.569253206253052,0.204598441720009,0,0,0
"기본소득당","용혜인",771,96,17,48,0.692690134048462,0.878755364806867,-0.492830336093903,-0.870125412940979,0,0,0
"더불어민주당","우상호",683,7,2,0,0.958154022693634,0.986994219653179,-0.417264372110367,0.0993563383817673,0,0,0
"무소속","우원식",589,18,2,2,0.8930743932724,0.967266775777414,-0.441401720046997,0.0150888105854392,0,0,0
"더불어민주당","위성곤",1011,63,9,18,0.807664811611176,0.934604904632153,-0.59391176700592,-0.158323913812637,0,0,0
"국민의힘","유경준",558,159,75,129,0.595836102962494,0.745928338762215,0.740304589271545,-0.26602178812027,0,0,0
"더불어민주당","유기홍",744,6,0,5,0.953937113285065,0.99205298013245,-0.483615696430206,0.0607404373586178,0,0,0
"더불어민주당","유동수",1035,12,0,1,0.943927109241486,0.988549618320611,-0.378107130527496,0.409539401531219,0,0,0
"국민의힘","유상범",426,123,59,125,0.599423050880432,0.751705320600273,0.802724123001099,0.336269944906235,0,0,0
"국민의힘","유의동",544,104,27,85,0.66377192735672,0.827631578947368,0.623567283153534,0.0229367110878229,0,0,0
"더불어민주당","유정주",970,23,2,20,0.910703003406525,0.975369458128079,-0.637937784194946,-0.0551815889775753,0,0,0
"더불어민주당","윤건영",898,32,3,10,0.899969458580017,0.96288441145281,-0.652866721153259,0.0390432924032211,0,0,0
"무소속","윤관석",977,0,0,0,0.980721771717072,1,-0.425632834434509,0.307442665100098,0,0,0
"국민의힘","윤두현",475,111,48,163,0.643135964870453,0.800501882057716,0.813338756561279,-0.119287952780724,0,0,0
"무소속","윤미향",894,62,11,46,0.809936821460724,0.927936821322804,-0.866260349750519,-0.359037339687347,0,0,0
"국민의힘","윤상현",343,6,0,2,0.923643231391907,0.982905982905983,-0.110262960195541,-0.196281880140305,0,0,0
"더불어민주당","윤영덕",1012,76,8,24,0.81839519739151,0.925,-0.783627271652222,0.118325851857662,0,0,0
"국민의힘","윤영석",264,17,4,0,0.817500710487366,0.926315789473684,0.0698572620749474,0.538638710975647,0,0,0
"더불어민주당","윤영찬",952,18,1,2,0.924366056919098,0.980472764645427,-0.423892617225647,0.0803117230534554,0,0,0
"더불어민주당","윤재갑",1042,21,1,10,0.922272562980652,0.97951582867784,-0.570918619632721,0.043891616165638,0,0,0
"국민의힘","윤재옥",887,41,1,20,0.860270798206329,0.955742887249737,0.118240103125572,-0.149910688400269,0,0,0
"국민의힘","윤주경",622,156,54,126,0.618168354034424,0.780793319415449,0.710174083709717,0.333235263824463,0,0,0
"더불어민주당","윤준병",1074,27,4,13,0.914702951908112,0.972271914132379,-0.598050951957703,-0.0036041559651494,0,0,0
"국민의힘","윤창현",1008,31,0,25,0.888536393642426,0.970864661654135,0.0966260656714439,-0.14381630718708,0,0,0
"국민의힘","윤한홍",263,46,16,73,0.687268972396851,0.844221105527638,0.755294561386108,0.29158627986908,0,0,0
"더불어민주당","윤호중",938,8,0,0,0.950107753276825,0.99154334038055,-0.446513324975967,0.321592479944229,0,0,0
